python-oslo.messaging,1.3.0-0ubuntu1
python-oslo.rootwrap,1.2.0-0ubuntu1
python-oslo.vmware,0.2-0ubuntu1
python-pam,0.4.2-13.1ubuntu3
python-paramiko,1.10.1-1git1build1
python-passlib,1.5.3-0ubuntu3
python-paste,1.7.5.1-6ubuntu3
python-pastedeploy,1.5.2-1
python-pastedeploy-tpl,1.5.2-1
python-pastescript,1.7.5-3build1
python-pbr,0.7.0-0ubuntu2
python-pip,1.5.4-1
python-pkg-resources,3.3-1ubuntu1
python-prettytable,0.7.2-2ubuntu2
python-pyasn1,0.1.7-1ubuntu2
python-pycadf,0.4.1-0ubuntu1.1
python-pycurl,7.19.3-0ubuntu3
python-pyinotify,0.9.4-1build1
python-pyparsing,2.0.1+dfsg1-1build1
python-pysnmp4,4.2.5-1
python-pysnmp4-apps,0.3.2-1
python-pysnmp4-mibs,0.1.3-1
python-repoze.lru,0.6-4
python-requests,2.2.1-1
python-routes,2.0-1build1
python-scgi,1.13-1.1build1
python-scour,0.26-3build1
python-serial,2.6-1build1
python-setuptools,3.3-1ubuntu1
python-simplejson,3.3.1-1ubuntu6
python-six,1.5.2-1
python-software-properties,0.92.37.1
python-sqlalchemy,0.8.4-1build1
python-sqlalchemy-ext,0.8.4-1build1
python-stevedore,0.14.1-1
python-suds,0.4.1-11ubuntu0.1
python-support,1.0.15
python-swiftclient,1:2.0.3-0ubuntu1
python-taskflow,0.1.3-0ubuntu3
python-tempita,0.5.2-1build1
python-twisted,13.2.0-1ubuntu1
python-twisted-bin,13.2.0-1ubuntu1
python-twisted-conch,1:13.2.0-1ubuntu1
python-twisted-core,13.2.0-1ubuntu1
python-twisted-lore,13.2.0-1ubuntu1
python-twisted-mail,13.2.0-1ubuntu1
python-twisted-names,13.2.0-1ubuntu1
python-twisted-news,13.2.0-1ubuntu1
python-twisted-runner,13.2.0-1ubuntu1
python-twisted-web,13.2.0-1ubuntu1
python-twisted-words,13.2.0-1ubuntu1
python-tz,2012c-1build1
python-urllib3,1.7.1-1build1
python-warlock,1.1.0-0ubuntu2
python-webob,1.3.1-1
python-werkzeug,0.9.4+dfsg-1.1ubuntu1
python-xapian,1.2.16-2ubuntu1
python-yaml,3.10-4build4
python-zope.interface,4.0.5-1ubuntu4
python2.7,2.7.6-8
python2.7-minimal,2.7.6-8
python3,3.4.0-0ubuntu2
python3-apport,2.14.1-0ubuntu3
python3-apt,0.9.3.5
python3-chardet,2.0.1-1
python3-commandnotfound,0.3ubuntu12
python3-dbus,1.2.0-2build2
python3-debian,0.1.21+nmu2ubuntu2
python3-distupgrade,1:0.220.2
python3-gdbm:amd64,3.4.0-0ubuntu1
python3-gi,3.12.0-1
python3-magic,1:5.14-2ubuntu3.1
python3-minimal,3.4.0-0ubuntu2
python3-newt,0.52.15-2ubuntu5
python3-problem-report,2.14.1-0ubuntu3
python3-pycurl,7.19.3-0ubuntu3
python3-six,1.5.2-1
python3-software-properties,0.92.36
python3-update-manager,1:0.196.11
python3.4,3.4.0-2ubuntu1
python3.4-minimal,3.4.0-2ubuntu1
qemu-utils,2.0.0+dfsg-2ubuntu1.2
rabbitmq-server,3.2.4-1
readline-common,6.3-4ubuntu2
redis-server,2:2.8.4-2
redis-tools,2:2.8.4-2
resolvconf,1.69ubuntu1
rsync,3.1.0-2
rsyslog,7.4.4-1ubuntu2
run-one,1.17-0ubuntu1
screen,4.1.0~20120320gitdb59704-9
sed,4.2.2-4ubuntu1
sensible-utils,0.0.9
sg3-utils,1.36-1ubuntu1
sgml-base,1.26+nmu4ubuntu1
shared-mime-info,1.2-0ubuntu3
sharutils,1:4.14-1ubuntu1
smartmontools,6.2+svn3841-1.2
smitools,0.4.8+dfsg2-8ubuntu2
software-properties-common,0.92.36
sosreport,3.1-1ubuntu2
ssh-import-id,3.21-0ubuntu1
ssl-cert,1.0.33
strace,4.8-1ubuntu5
sudo,1.8.9p5-1ubuntu1
sysstat,10.2.0-1
systemd-services,204-5ubuntu20
systemd-shim,6-2bzr1
sysv-rc,2.88dsf-41ubuntu6
sysvinit-utils,2.88dsf-41ubuntu6
t1utils,1.37-2ubuntu1
tar,1.27.1-1
tasksel,2.88ubuntu15
tasksel-data,2.88ubuntu15
tcpd,7.6.q-25
tcpdump,4.5.1-2ubuntu1
telnet,0.17-36build2
tgt,1:1.0.43-0ubuntu4
time,1.7-24
tmux,1.8-5
tzdata,2014e-0ubuntu0.14.04
ubuntu-keyring,2012.05.19
ubuntu-minimal,1.325
ubuntu-release-upgrader-core,1:0.220.2
ubuntu-standard,1.325
ucf,3.0027+nmu1
udev,204-5ubuntu20
ufw,0.34~rc-0ubuntu2
unattended-upgrades,0.82.1ubuntu2
unzip,6.0-9ubuntu1
update-manager-core,1:0.196.11
update-notifier-common,0.154.1
upstart,1.12.1-0ubuntu4
ureadahead,0.100.0-16
usbutils,1:007-2ubuntu1
util-linux,2.20.1-5.1ubuntu20
uuid-runtime,2.20.1-5.1ubuntu20
vim,2:7.4.052-1ubuntu3
vim-common,2:7.4.052-1ubuntu3
vim-runtime,2:7.4.052-1ubuntu3
vim-tiny,2:7.4.052-1ubuntu3
vlan,1.9-3ubuntu10
w3m,0.5.3-15
watershed,7
wdiff,1.2.1-2
websockify,0.5.1+dfsg1-3ubuntu0.14.04.1
wget,1.15-1ubuntu1
whiptail,0.52.15-2ubuntu5
wireless-regdb,2013.02.13-1ubuntu1
wireless-tools,30~pre9-8ubuntu1
wpasupplicant,2.1-0ubuntu1
xauth,1:1.0.7-1ubuntu1
xkb-data,2.10.1-1ubuntu1
xml-core,0.13+nmu2
xz-utils,5.1.1alpha+20120614-2ubuntu2
zlib1g:amd64,1:1.2.8.dfsg-1ubuntu1
